"ID"	"SAC_Processing_Level_Abbreviation"	"Provider_Processing_Level_Abbreviation"	"Processing_Level_Name"	"Default_File_Format"	"Default_Projection"	"Default_Resampling_Algorithm"	"ID"	"SAC_Sensor_Abbreviation"	"Sensor_Abbreviation"
279	"L3Ad"	"NA"	"Orthorectified imagery in 8Bit Digital Number (DN) values. This is a three band true colour product with a reconstructed blue and green band."	"DIMAP"	"UTM"	"CC"	16	"HRG"	"HRG-5"
280	"L3Ba"	"NA"	"Mosaic of orthorectified images"	"DIMAP"	"UTM"	"CC"	16	"HRG"	"HRG-5"
281	"L3Bb"	"NA"	"Mosaic of orthorectified images in ¼ degree tiles"	"DIMAP"	"UTM"	"CC"	16	"HRG"	"HRG-5"
282	"L0"	"Level-0"	"Raw instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"DIMAP"	"ORBIT"	"NA"	17	"HRS"	"HRS-5"
283	"L1A"	"Level-1A"	"Radiometric correction of distortions due to differences in sensitivity of the elementary detectors of the viewing instrument.Intended for users who wish to do their own geometric image processing. (Source Astrium GEO)"	"DIMAP"	"ORBIT"	"NA"	17	"HRS"	"HRS-5"
284	"L3A"	"Level-3A"	"Map projection based on ground control points and a DEM to eliminate distortions due to relief. This product is orthorectified."	"DIMAP"	"UTM"	"CC"	17	"HRS"	"HRS-5"
285	"L4Ad"	"Reference3D"	"30m DEM generated from HRS Stereopairs at 15m 1S planimetric and 10m 1S horizontal accuracy at slopes < 20 degrees"	"DIMAP"	"UTM"	"CC"	17	"HRS"	"HRS-5"
286	"L1P"	"VGT-P"	"Ideal system corrected data in Orbit segment"	"HDF"	"ORBIT"	"NA"	18	"VMI"	"Vegetation-5"
287	"L3DS"	"VGT-DS"	"Daily Synthesis in Geographic Zone"	"HDF"	"PC"	"MTF"	18	"VMI"	"Vegetation-5"
288	"L3PS"	"VGT-PS"	"Period synthesis in Geographic Zone"	"HDF"	"PC"	"MTF"	18	"VMI"	"Vegetation-5"
289	"L3P4"	"VGT-PS4"	"Degraded resolution 4km in Geographical Zone"	"HDF"	"PC"	"MTF"	18	"VMI"	"Vegetation-5"
290	"L3P8"	"VGT-PS8"	"Degraded resolution 4km in Geographical Zone"	"HDF"	"PC"	"MTF"	18	"VMI"	"Vegetation-5"
291	"L0"	"RAW"	"Raw SAR telemetry data corresponding to one frame of data acquisition (16 seconds) with all auxiliary data necessary for processing. (Source Eurimage)"	"CEOS"	"ORBIT"	"NA"	19	"AMI"	"AMI-2"
292	"L1Aa"	"SLCI"	"Single Look Complex Image. This is pre-processed but retains the data in complex (i.e. phase-preserving) form. The product is single-look (no speckle reduction) and in slant range. Full frame (SLCI) format. (Source Eurimage)"	"CEOS"	"ORBIT"	"NA"	19	"AMI"	"AMI-2"
293	"L1Ab"	"SLCn"	"Single Look Complex Image. This is pre-processed but retains the data in complex (i.e. phase-preserving) form. The product is single-look (no speckle reduction) and in slant range. Quarter frame (SLCn) (Source Eurimage)"	"CEOS"	"ORBIT"	"NA"	19	"AMI"	"AMI-2"
294	"L2A"	"PRI"	"Precision Image (PRI). This is the standard product for most imaging-radar applications. It is the first product from which radar backscatter can be derived for geophysical modelling. No correction is applied for terrain-induced radiometric effects, the image is not geocoded, and terrain distortion (foreshortening and layover) has not been removed. (Source Eurimage)"	"CEOS"	"ORBIT"	"ML"	19	"AMI"	"AMI-2"
295	"L2B"	"GEC"	"Ellipsoid Geocoded Image (GEC). This high level product precisely locates and rectifies the SAR image on a map projection. Radar backscatter can be derived for geophysical modelling. The scene measures 100 x 100 km and is rotated according to the map grid. There is no correction applied for terrain distortion or radiometry.  (Source Eurimage)"	"CEOS"	"UTM"	"ML"	19	"AMI"	"AMI-2"
296	"L3A"	"ORTHO"	"Orthorectified Image (ORTHO). This high level product precisely locates and rectifies the SAR image on a map projection. Radar backscatter can be derived for geophysical modelling. The scene measures 100 x 100 km and is rotated according to the map grid. There is correction applied for terrain distortion and radiometry. (Source Eurimage)"	"TIF"	"UTM"	"ML"	19	"AMI"	"AMI-2"
297	"L4Ad"	"DSM"	"Digital Surface Model (DSM). This is a interferrometrically derived Digital Surface Model."	"TIF"	"UTM"	"ML"	19	"AMI"	"AMI-2"
298	"L1A"	"Level-1A"	"Radiometrically system corrected but in Sensor Geometry"	"CEOS"	"ORBIT"	"NA"	20	"RBV"	"RBV-1"
299	"L2B"	"Level-2B"	"Georeferenced but not orthorectified "	"CEOS"	"UTM"	"CC"	20	"RBV"	"RBV-1"
300	"L3A"	"Level-3A"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	20	"RBV"	"RBV-1"
301	"L1A"	"Level-1A"	"Radiometrically system corrected but in Sensor Geometry"	"CEOS"	"ORBIT"	"NA"	21	"RBV"	"RBV-2"
302	"L2B"	"Level-2B"	"Georeferenced but not orthorectified "	"CEOS"	"UTM"	"CC"	21	"RBV"	"RBV-2"
303	"L3A"	"Level-3A"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	21	"RBV"	"RBV-2"
304	"L1A"	"Level-1A"	"Radiometrically system corrected but in Sensor Geometry"	"CEOS"	"ORBIT"	"NA"	22	"RBV"	"RBV-3"
305	"L2B"	"Level-2B"	"Georeferenced but not orthorectified "	"CEOS"	"UTM"	"CC"	22	"RBV"	"RBV-3"
306	"L3A"	"Level-3A"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	22	"RBV"	"RBV-3"
307	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	23	"HRC"	"HRCC-2B"
308	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	23	"HRC"	"HRCC-2B"
309	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	23	"HRC"	"HRCC-2B"
310	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	23	"HRC"	"HRCC-2B"
311	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	23	"HRC"	"HRCC-2B"
312	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	23	"HRC"	"HRCC-2B"
313	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	24	"HRP"	"HRPC-2B"
314	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	24	"HRP"	"HRPC-2B"
315	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	24	"HRP"	"HRPC-2B"
316	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	24	"HRP"	"HRPC-2B"
317	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	24	"HRP"	"HRPC-2B"
318	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	24	"HRP"	"HRPC-2B"
319	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	25	"WFI"	"WFI-2B"
320	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	25	"WFI"	"WFI-2B"
321	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	25	"WFI"	"WFI-2B"
322	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	25	"WFI"	"WFI-2B"
323	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	25	"WFI"	"WFI-2B"
324	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	25	"WFI"	"WFI-2B"
325	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	26	"PAL"	"PAL-2"
326	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	26	"PAL"	"PAL-2"
327	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	26	"PAL"	"PAL-2"
328	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	26	"PAL"	"PAL-2"
329	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	26	"PAL"	"PAL-2"
330	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	26	"PAL"	"PAL-2"
331	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	27	"MSI"	"MSI-2"
332	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	27	"MSI"	"MSI-2"
333	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	27	"MSI"	"MSI-2"
334	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	27	"MSI"	"MSI-2"
335	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	27	"MSI"	"MSI-2"
336	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	27	"MSI"	"MSI-2"
337	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	28	"MUX"	"MUX-3"
338	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	28	"MUX"	"MUX-3"
339	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	28	"MUX"	"MUX-3"
340	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	28	"MUX"	"MUX-3"
341	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	28	"MUX"	"MUX-3"
342	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	28	"MUX"	"MUX-3"
343	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	29	"HRC"	"HRCC-3"
344	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	29	"HRC"	"HRCC-3"
345	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	29	"HRC"	"HRCC-3"
346	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	29	"HRC"	"HRCC-3"
347	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	29	"HRC"	"HRCC-3"
348	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	29	"HRC"	"HRCC-3"
349	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	30	"IRM"	"IRMSS-3"
350	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	30	"IRM"	"IRMSS-3"
351	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	30	"IRM"	"IRMSS-3"
352	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	30	"IRM"	"IRMSS-3"
353	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	30	"IRM"	"IRMSS-3"
354	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	30	"IRM"	"IRMSS-3"
355	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"TIF"	"ORBIT"	"NA"	31	"AWF"	"AWFI-3"
356	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"TIF"	"ORBIT"	"NA"	31	"AWF"	"AWFI-3"
357	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"TIF"	"UTM"	"CC"	31	"AWF"	"AWFI-3"
358	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	31	"AWF"	"AWFI-3"
359	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	31	"AWF"	"AWFI-3"
360	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	31	"AWF"	"AWFI-3"
361	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"CEOS"	"ORBIT"	"NA"	32	"MMR"	"MMRS-C"
362	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"CEOS"	"ORBIT"	"NA"	32	"MMR"	"MMRS-C"
363	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"CEOS"	"UTM"	"CC"	32	"MMR"	"MMRS-C"
364	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	32	"MMR"	"MMRS-C"
365	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	32	"MMR"	"MMRS-C"
366	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	32	"MMR"	"MMRS-C"
367	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"CEOS"	"ORBIT"	"NA"	33	"HRT"	"HRTC-C"
368	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"CEOS"	"ORBIT"	"NA"	33	"HRT"	"HRTC-C"
369	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"CEOS"	"UTM"	"CC"	33	"HRT"	"HRTC-C"
370	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	33	"HRT"	"HRTC-C"
371	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	33	"HRT"	"HRTC-C"
372	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	33	"HRT"	"HRTC-C"
373	"L1B"	"Basic"	"Systematic Radio- and Geometric Sensor correction applied "	"TIF"	"ORBIT"	"NA"	34	"W60"	"WV60"
374	"L2A"	"OrthoReadyStandard"	"Systematic Radio- and Geo-metric Corrections applied. Imagery projected but no DEM used for the remooval of topographic distortions."	"TIF"	"UTM"	"CC"	34	"W60"	"WV60"
375	"L2B"	"Standard"	"Systematic Radio- and Geo-metric Corrections applied. Imagery projected rough DEM used for the remooval of topographic distortions."	"TIF"	"UTM"	"CC"	34	"W60"	"WV60"
376	"L3Aa"	"Vision-Display"	"Orthorectified to and accuracy of 25.4m and suitable for an analysis of 1 : 50 000"	"TIF"	"UTM"	"CC"	34	"W60"	"WV60"
377	"L3Ab"	"Vision-Mapping"	"Orthorectified to and accuracy of 10.2m and suitable for an analysis of 1:25 000 and mapping at 1 : 50 000"	"TIF"	"UTM"	"CC"	34	"W60"	"WV60"
378	"L3Ac"	"Vision-Precision"	"Orthorectified to and accuracy of 4.2m and suitable for an analysis of 1:5 000 and mapping at 1 : 10 000"	"TIF"	"UTM"	"CC"	34	"W60"	"WV60"
379	"L1B"	"Basic"	"Systematic Radio- and Geometric Sensor correction applied "	"TIF"	"ORBIT"	"NA"	35	110	"WV110"
380	"L2A"	"OrthoReadyStandard"	"Systematic Radio- and Geo-metric Corrections applied. Imagery projected but no DEM used for the remooval of topographic distortions."	"TIF"	"UTM"	"CC"	35	110	"WV110"
381	"L2B"	"Standard"	"Systematic Radio- and Geo-metric Corrections applied. Imagery projected rough DEM used for the remooval of topographic distortions."	"TIF"	"UTM"	"CC"	35	110	"WV110"
382	"L3Aa"	"Vision-Display"	"Orthorectified to and accuracy of 25.4m and suitable for an analysis of 1 : 50 000"	"TIF"	"UTM"	"CC"	35	110	"WV110"
383	"L3Ab"	"Vision-Mapping"	"Orthorectified to and accuracy of 10.2m and suitable for an analysis of 1:25 000 and mapping at 1 : 50 000"	"TIF"	"UTM"	"CC"	35	110	"WV110"
384	"L3Ac"	"Vision-Precision"	"Orthorectified to and accuracy of 4.2m and suitable for an analysis of 1:5 000 and mapping at 1 : 10 000"	"TIF"	"UTM"	"CC"	35	110	"WV110"
385	"L1B"	"Basic"	"Systematic Radio- and Geometric Sensor correction applied "	"TIF"	"ORBIT"	"NA"	36	"BGI"	"BGIS-2000"
386	"L2A"	"OrthoReadyStandard"	"Systematic Radio- and Geo-metric Corrections applied. Imagery projected but no DEM used for the remooval of topographic distortions."	"TIF"	"UTM"	"CC"	36	"BGI"	"BGIS-2000"
387	"L2B"	"Standard"	"Systematic Radio- and Geo-metric Corrections applied. Imagery projected rough DEM used for the remooval of topographic distortions."	"TIF"	"UTM"	"CC"	36	"BGI"	"BGIS-2000"
388	"L3Aa"	"Vision-Display"	"Orthorectified to and accuracy of 25.4m and suitable for an analysis of 1 : 50 000"	"TIF"	"UTM"	"CC"	36	"BGI"	"BGIS-2000"
389	"L3Ab"	"Vision-Mapping"	"Orthorectified to and accuracy of 10.2m and suitable for an analysis of 1:25 000 and mapping at 1 : 50 000"	"TIF"	"UTM"	"CC"	36	"BGI"	"BGIS-2000"
390	"L3Ac"	"Vision-Precision"	"Orthorectified to and accuracy of 4.2m and suitable for an analysis of 1:5 000 and mapping at 1 : 10 000"	"TIF"	"UTM"	"CC"	36	"BGI"	"BGIS-2000"
391	"L1B"	"GEO"	"Radiometrically corrected map oriented image suitable for a wide range of uses. Geo is shipped with the sensor camera model in rational polynomial coefficient (RPC) format. The Geo product, coupled with a digital elevation model and control data, permits skilled users to make orthorectified products using standard commercial software."	"TIF"	"ORBIT"	"NA"	37	"OSA"	"OSA-2"
392	"L3Ab"	"GEO-Professional"	"Orthorectified to and accuracy of 10m and suitable for an analysis of 1:25 000 and mapping at 1 : 50 000"	"TIF"	"UTM"	"CC"	37	"OSA"	"OSA-2"
393	"L3Ac"	"Precision"	"Orthorectified to and accuracy of 4.2m and suitable for an analysis of 1:5 000 and mapping at 1 : 10 000"	"TIF"	"UTM"	"CC"	37	"OSA"	"OSA-2"
394	"L1B"	"GEO"	"Radiometrically corrected map oriented image suitable for a wide range of uses. Geo is shipped with the sensor camera model in rational polynomial coefficient (RPC) format. The Geo product, coupled with a digital elevation model and control data, permits skilled users to make orthorectified products using standard commercial software."	"TIF"	"ORBIT"	"NA"	38	"GIS"	"GIS-1"
395	"L3Ab"	"GEO-Professional"	"Orthorectified to and accuracy of 10m and suitable for an analysis of 1:25 000 and mapping at 1 : 50 000"	"TIF"	"UTM"	"CC"	38	"GIS"	"GIS-1"
396	"L3Ac"	"Precision"	"Orthorectified to and accuracy of 4.2m and suitable for an analysis of 1:5 000 and mapping at 1 : 10 000"	"TIF"	"UTM"	"CC"	38	"GIS"	"GIS-1"
397	"L1A"	"SSC"	"Single Look Slant Range Complex (Single Look Complex) "	"COS"	"ORBIT"	"NA"	39	"SAR"	"SAR-TSX1"
398	"L2Aa"	"MGD-SE"	"Multi Look Ground Range Detected, Spatially Enhanced with the highest possible square ground resolution"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
399	"L2Ab"	"MGD-RE"	"Multi Look Ground Range Detected, Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
400	"L2Ba"	"GEC-SE"	"Geocoded Ellipsoid Corrected. Since the ellipsoid correction does not use height information from a Digital Elevation Model (DEM) for geometric correction, the pixel location accuracy varies depending on the local Terrain. Spatially Enhanced with the highest possible square ground resolution"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
401	"L2Bb"	"GEC-SE-RaN"	"Geocoded Ellipsoid Corrected. Since the ellipsoid correction does not use height information from a Digital Elevation Model (DEM) for geometric correction, the pixel location accuracy varies depending on the local Terrain. Spatially Enhanced with the highest possible square ground resolution. Radiometrically Corrected"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
402	"L2Bc"	"GEC-RE"	"Geocoded Ellipsoid Corrected. Since the ellipsoid correction does not use height information from a Digital Elevation Model (DEM) for geometric correction, the pixel location accuracy varies depending on the local Terrain. Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
403	"L2Bd"	"GEC-RE-RaN"	"Geocoded Ellipsoid Corrected. Since the ellipsoid correction does not use height information from a Digital Elevation Model (DEM) for geometric correction, the pixel location accuracy varies depending on the local Terrain. Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution and Radiometrically Corrected"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
404	"L3Aa"	"EEC-SE"	"Enhanced Ellipsoid Corrected The image is represented in map geometry with terrain correction.  Spatially Enhanced with the highest possible square ground resolution"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
405	"L3Ab"	"EEC-SE-RaN"	"Enhanced Ellipsoid Corrected The image is represented in map geometry with terrain correction.  Spatially Enhanced with the highest possible square ground resolution and Radiometrically Corrected"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
406	"L3Ac"	"EEC-RE"	"Enhanced Ellipsoid Corrected The image is represented in map geometry with terrain correction. Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
407	"L3Ad"	"EEC-RE-RaN"	"Enhanced Ellipsoid Corrected The image is represented in map geometry with terrain correction. Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution and Radiometrically Corrected"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
408	"L3Ae"	"ORI-SE"	"Orthorectified Image with a highly accurate DEM,  Spatially Enhanced with the highest possible square ground resolution"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
409	"L3Af"	"ORI-SE-RaN"	"Orthorectified Image with a highly accurate DEM, Spatially Enhanced with the highest possible square ground resolution, Radiometrically Corrected"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
410	"L3Ag"	"ORI-RE"	"Orthorectified Image with a highly accurate DEM, Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
411	"L3Ah"	"ORI-RE-RaN"	"Orthorectified Image with a highly accurate DEM, Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution, Radiometrically Normalised "	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
412	"L3Ba"	"MC-SAR"	"Mosaic of orthorectified images"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
413	"L3Bb"	"ADM-SAR"	"Ascending, Descending image merge"	"TIF"	"UTM"	"ML"	39	"SAR"	"SAR-TSX1"
414	"L4Ad"	"ELEVATION-DSM"	"Radargrammetrically derived Digital Surface Model"	"TIF"	"UTM"	"BL"	39	"SAR"	"SAR-TSX1"
415	"L4At"	"TanDEM-X-DEM"	"Interferrometrically derived Digital Surface Model from the TanDEM-X mission"	"TIF"	"UTM"	"BL"	39	"SAR"	"SAR-TSX1"
416	"L1A"	"SSC"	"Single Look Slant Range Complex (Single Look Complex) "	"COS"	"ORBIT"	"NA"	40	"SAR"	"SAR-TDX2"
417	"L2Aa"	"MGD-SE"	"Multi Look Ground Range Detected, Spatially Enhanced with the highest possible square ground resolution"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
418	"L2Ab"	"MGD-RE"	"Multi Look Ground Range Detected, Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
419	"L2Ba"	"GEC-SE"	"Geocoded Ellipsoid Corrected. Since the ellipsoid correction does not use height information from a Digital Elevation Model (DEM) for geometric correction, the pixel location accuracy varies depending on the local Terrain. Spatially Enhanced with the highest possible square ground resolution"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
420	"L2Bb"	"GEC-SE-RaN"	"Geocoded Ellipsoid Corrected. Since the ellipsoid correction does not use height information from a Digital Elevation Model (DEM) for geometric correction, the pixel location accuracy varies depending on the local Terrain. Spatially Enhanced with the highest possible square ground resolution. Radiometrically Corrected"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
421	"L2Bc"	"GEC-RE"	"Geocoded Ellipsoid Corrected. Since the ellipsoid correction does not use height information from a Digital Elevation Model (DEM) for geometric correction, the pixel location accuracy varies depending on the local Terrain. Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
422	"L2Bd"	"GEC-RE-RaN"	"Geocoded Ellipsoid Corrected. Since the ellipsoid correction does not use height information from a Digital Elevation Model (DEM) for geometric correction, the pixel location accuracy varies depending on the local Terrain. Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution and Radiometrically Corrected"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
423	"L3Aa"	"EEC-SE"	"Enhanced Ellipsoid Corrected The image is represented in map geometry with terrain correction.  Spatially Enhanced with the highest possible square ground resolution"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
424	"L3Ab"	"EEC-SE-RaN"	"Enhanced Ellipsoid Corrected The image is represented in map geometry with terrain correction.  Spatially Enhanced with the highest possible square ground resolution and Radiometrically Corrected"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
425	"L3Ac"	"EEC-RE"	"Enhanced Ellipsoid Corrected The image is represented in map geometry with terrain correction. Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
426	"L3Ad"	"EEC-RE-RaN"	"Enhanced Ellipsoid Corrected The image is represented in map geometry with terrain correction. Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution and Radiometrically Corrected"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
427	"L3Ae"	"ORI-SE"	"Orthorectified Image with a highly accurate DEM,  Spatially Enhanced with the highest possible square ground resolution"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
428	"L3Af"	"ORI-SE-RaN"	"Orthorectified Image with a highly accurate DEM, Spatially Enhanced with the highest possible square ground resolution, Radiometrically Corrected"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
429	"L3Ag"	"ORI-RE"	"Orthorectified Image with a highly accurate DEM, Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
430	"L3Ah"	"ORI-RE-RaN"	"Orthorectified Image with a highly accurate DEM, Radiometrically Enhanced is optimized with respect to radiometry to the detriment of resolution, Radiometrically Normalised "	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
